obs,Sample_id,SampleDate,ReportDate,P2,Grower,Field,Y,X,attribute,measure
1,1,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715079,44.001031,Om,4.2
2,2,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716077,44.001391,Om,3.1
3,3,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717587,44.001059,Om,3.6
4,4,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717699,44.001909,Om,3.9
5,5,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716624,44.002105,Om,4.7
6,6,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715059,44.001936,Om,3.6
7,7,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713805,44.001922,Om,4.9
8,8,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713972,44.00264,Om,4.1
9,9,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715039,44.002841,Om,5
10,10,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716294,44.002855,Om,4.1
11,11,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717385,44.003141,Om,4.4
12,12,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716274,44.00376,Om,4.9
13,13,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715106,44.003974,Om,3.8
14,14,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713939,44.003573,Om,3.4
15,15,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717323,44.004169,Om,4.5
16,16,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713937,44.004847,Om,4.3
17,17,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715969,44.00454,Om,3.3
18,18,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717436,44.004981,Om,3.8
19,19,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717464,44.006085,Om,4.8
20,21,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714748,44.005403,Om,5.3
21,22,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713944,44.005743,Om,6.9
22,23,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714413,44.006418,Om,5
23,24,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715524,44.00643,Om,5.1
24,25,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716721,44.007198,Om,5.6
25,26,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715544,44.00727,Om,5.4
26,27,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714043,44.007149,Om,4.8
27,28,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713809,44.001158,Om,3.7
28,20,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716563,44.005518,Om,4
29,21,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789544,43.993098,Om,3.2
30,22,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789501,43.9926,Om,3.8
31,27,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789415,43.986972,Om,3.3
32,5,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.793132,43.992454,Om,5.9
33,6,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.792942,43.993183,Om,3.1
34,8,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791453,43.990199,Om,1.8
35,9,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791117,43.989561,Om,5.6
36,10,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791278,43.988939,Om,5.2
37,11,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791485,43.988026,Om,4.2
38,12,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791651,43.987113,Om,4.7
39,13,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790426,43.986993,Om,3.7
40,14,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79048,43.987656,Om,3.3
41,15,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790527,43.98863,Om,3.8
42,16,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789865,43.98947,Om,3.9
43,17,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79043,43.9901,Om,4.3
44,18,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790678,43.991096,Om,2.6
45,19,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790759,43.992419,Om,7.5
46,20,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791025,43.993192,Om,5.2
47,23,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.78936,43.990273,Om,3.4
48,24,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788906,43.989509,Om,6.1
49,25,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788962,43.98871,Om,3.2
50,26,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789561,43.987705,Om,3.3
51,29,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789559,43.991084,Om,4.7
52,1,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.795423,43.992537,Om,3.6
53,2,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794859,43.993213,Om,4.6
54,3,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794072,43.992681,Om,3.5
55,4,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794252,43.991797,Om,5.6
56,28,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.796501,43.99326,Om,3.8
57,7,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791593,43.992593,Om,4.4
58,41,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.797858,44.041203,Om,5.2
59,42,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795701,44.040519,Om,7.9
60,46,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794507,44.039956,Om,7.6
